,SIM Time,Waiting Time,Waiting Car,Action,Reward
194,195.0,"(0.0, 7)",7,52,10
195,196.0,"(0.0, 7)",7,48,10
196,197.0,"(1.0, 8)",8,8,10
197,198.0,"(2.0, 8)",8,52,10
198,199.0,"(4.0, 10)",10,24,10
199,200.0,"(6.0, 9)",9,24,10
200,201.0,"(9.0, 11)",11,24,10
201,202.0,"(12.0, 10)",10,48,10
202,203.0,"(16.0, 9)",9,64,10
203,204.0,"(20.0, 11)",11,32,10
204,205.0,"(24.0, 11)",11,16,10
205,206.0,"(29.0, 11)",11,52,10
206,207.0,"(34.0, 11)",11,52,10
207,208.0,"(40.0, 11)",11,32,10
208,209.0,"(46.0, 12)",12,24,10
209,210.0,"(53.0, 12)",12,16,10
210,211.0,"(60.0, 13)",13,64,10
211,212.0,"(68.0, 13)",13,48,10
212,213.0,"(76.0, 13)",13,32,10
213,214.0,"(85.0, 13)",13,52,10
214,215.0,"(94.0, 12)",12,48,10
215,216.0,"(103.0, 12)",12,52,10
216,217.0,"(112.0, 12)",12,24,10
217,218.0,"(121.0, 13)",13,64,10
218,219.0,"(130.0, 13)",13,48,10
219,220.0,"(139.0, 14)",14,32,10
220,221.0,"(149.0, 13)",13,48,10
221,222.0,"(159.0, 13)",13,32,10
222,223.0,"(170.0, 14)",14,16,10
223,224.0,"(181.0, 13)",13,16,10
224,225.0,"(192.0, 14)",14,48,10
225,226.0,"(204.0, 16)",16,8,5
226,227.0,"(204.0, 16)",16,16,5
227,228.0,"(211.0, 14)",14,24,5
228,229.0,"(220.0, 16)",16,64,5
229,230.0,"(229.0, 17)",17,8,5
230,231.0,"(239.0, 17)",17,24,5
231,232.0,"(247.0, 17)",17,52,5
232,233.0,"(256.0, 16)",16,64,5
233,234.0,"(265.0, 15)",15,24,5
234,235.0,"(274.0, 16)",16,8,5
235,236.0,"(283.0, 17)",17,52,5
236,237.0,"(251.0, 15)",15,8,5
237,238.0,"(219.0, 15)",15,32,5
238,239.0,"(187.0, 15)",15,64,10
239,240.0,"(155.0, 16)",16,16,10
240,241.0,"(124.0, 14)",14,64,10
241,242.0,"(93.0, 14)",14,52,10
242,243.0,"(62.0, 14)",14,64,10
243,244.0,"(64.0, 13)",13,8,10
244,245.0,"(32.0, 12)",12,52,10
245,246.0,"(1.0, 12)",12,48,10
246,247.0,"(2.0, 13)",13,64,10
247,248.0,"(3.0, 12)",12,16,10
248,249.0,"(4.0, 13)",13,48,10
249,250.0,"(5.0, 13)",13,24,10
250,251.0,"(7.0, 13)",13,24,10
251,252.0,"(10.0, 14)",14,52,10
252,253.0,"(14.0, 13)",13,8,10
253,254.0,"(19.0, 13)",13,48,10
254,255.0,"(24.0, 10)",10,24,10
255,256.0,"(29.0, 9)",9,64,10
256,257.0,"(34.0, 10)",10,64,10
257,258.0,"(39.0, 10)",10,48,10
258,259.0,"(44.0, 10)",10,64,10
259,260.0,"(49.0, 9)",9,32,10
260,261.0,"(54.0, 9)",9,48,10
261,262.0,"(59.0, 9)",9,64,10
262,263.0,"(64.0, 9)",9,64,10
263,264.0,"(69.0, 7)",7,16,10
