,SIM Time,Waiting Time,Waiting Car,Action,Reward
353,354,95.0,13,[52],7
354,355,104.0,15,[32],7
355,356,114.0,14,[64],7
356,357,122.0,14,[48],7
357,358,109.0,14,[16],7
358,359,98.0,14,[52],7
359,360,88.0,13,[64],7
360,361,77.0,14,[64],7
361,362,85.0,13,[64],7
362,363,74.0,12,[52],7
363,364,63.0,11,[48],7
364,365,51.0,11,[64],7
365,366,38.0,12,[48],7
366,367,24.0,11,[32],7
367,368,27.0,11,[16],7
368,369,30.0,12,[16],7
369,370,33.0,11,[32],7
370,371,37.0,12,[8],7
371,372,41.0,12,[16],7
372,373,45.0,14,[64],7
373,374,49.0,12,[16],7
374,375,53.0,14,[8],7
375,376,57.0,13,[16],7
376,377,62.0,14,[24],7
377,378,67.0,12,[32],7
378,379,54.0,10,[8],7
379,380,26.0,12,[64],7
380,381,0.0,12,[8],7
381,382,0.0,12,[24],7
382,383,0.0,11,[32],7
383,384,1.0,12,[64],7
384,385,2.0,12,[64],7
385,386,4.0,14,[48],7
386,387,7.0,13,[24],7
387,388,10.0,14,[16],7
388,389,14.0,15,[8],7
389,390,20.0,17,[52],7
390,391,27.0,18,[8],7
391,392,36.0,19,[64],7
392,393,46.0,19,[52],7
393,394,58.0,20,[16],7
394,395,72.0,19,[32],7
395,396,87.0,21,[52],7
396,397,102.0,22,[52],7
397,398,117.0,22,[52],7
398,399,134.0,23,[16],7
399,400,151.0,23,[8],5
400,401,169.0,23,[64],5
401,402,169.0,23,[16],5
402,403,158.0,23,[24],5
403,404,151.0,23,[24],5
404,405,145.0,23,[52],7
405,406,143.0,24,[8],7
406,407,157.0,23,[64],5
407,408,157.0,22,[8],5
408,409,156.0,21,[48],5
409,410,154.0,20,[52],5
410,411,151.0,20,[64],5
411,412,163.0,20,[16],5
412,413,175.0,19,[24],5
413,414,187.0,19,[24],5
414,415,199.0,20,[48],5
415,416,211.0,20,[48],5
416,417,223.0,22,[52],5
417,418,235.0,22,[52],5
418,419,248.0,22,[52],5
419,420,262.0,22,[48],5
420,421,277.0,21,[24],5
421,422,293.0,23,[32],5
422,423,273.0,22,[48],5
423,424,235.0,21,[24],5
424,425,197.0,22,[8],5
425,426,176.0,22,[64],5
426,427,155.0,21,[64],5
427,428,137.0,21,[64],7
428,429,120.0,22,[48],7
429,430,131.0,23,[52],7
430,431,116.0,23,[24],7
431,432,129.0,24,[8],7
432,433,115.0,24,[16],7
433,434,102.0,24,[16],7
434,435,116.0,25,[52],7
435,436,132.0,25,[48],7
436,437,137.0,26,[8],7
437,438,148.0,25,[52],7
438,439,162.0,26,[52],5
439,440,178.0,27,[8],5
440,441,194.0,26,[24],5
441,442,210.0,26,[52],5
442,443,228.0,25,[16],5
